Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32308,7255,2,2/04/2016 0:00,,
32309,7441,2,3/04/2016 0:00,,
32310,6834,2,3/04/2016 0:00,,
32311,4080,5,3/04/2016 0:00,2292,
32312,4080,2,3/04/2016 0:00,,
32313,6847,2,3/04/2016 0:00,,
32314,7455,2,3/04/2016 0:00,,
32315,7456,2,3/04/2016 0:00,,
32316,7447,2,3/04/2016 0:00,,
32317,7454,2,3/04/2016 0:00,,
32318,7449,2,3/04/2016 0:00,,
32319,7447,2,3/04/2016 0:00,,
32320,7446,2,3/04/2016 0:00,,
32321,7446,2,3/04/2016 0:00,,
32322,7447,2,4/04/2016 0:00,,
32323,7460,2,4/04/2016 0:00,,
32324,266,5,4/04/2016 0:00,10855,
32325,7460,2,4/04/2016 0:00,,
32326,7444,2,4/04/2016 0:00,,
32327,6366,2,4/04/2016 0:00,,
32328,7204,2,4/04/2016 0:00,,
32329,7366,1,4/04/2016 0:00,,
32331,7463,2,4/04/2016 0:00,,
32332,7460,2,4/04/2016 0:00,,
32333,7468,5,4/04/2016 0:00,3856,
32334,7459,5,4/04/2016 0:00,3856,
32336,6180,2,4/04/2016 0:00,,
32338,7087,2,4/04/2016 0:00,,
32339,7084,2,4/04/2016 0:00,,
32340,4088,2,4/04/2016 0:00,,
32341,7470,2,4/04/2016 0:00,,
32342,7356,1,5/04/2016 0:00,,
32343,7460,2,5/04/2016 0:00,,
32344,7470,2,5/04/2016 0:00,,
32345,4100,5,5/04/2016 0:00,3794,
32346,7470,2,5/04/2016 0:00,,
32347,7475,5,5/04/2016 0:00,530,
32348,7475,2,5/04/2016 0:00,,
32349,7473,2,5/04/2016 0:00,,
32350,7477,2,5/04/2016 0:00,,
32351,7476,2,5/04/2016 0:00,,
32352,7460,2,5/04/2016 0:00,,
32353,7470,2,5/04/2016 0:00,,
32354,7463,2,5/04/2016 0:00,,
32355,7472,2,5/04/2016 0:00,,
32356,7471,2,5/04/2016 0:00,,
32357,7458,2,5/04/2016 0:00,,
32358,7465,2,5/04/2016 0:00,,
32359,7459,2,5/04/2016 0:00,,
32360,7457,2,5/04/2016 0:00,,
32361,7445,2,5/04/2016 0:00,,
32362,7335,2,5/04/2016 0:00,,
32363,7336,2,5/04/2016 0:00,,
