Id,PostId,VoteTypeId,CreationDate,UserId
6903,1373,2,1393286400,
6904,1373,5,1393286400,90
6905,1585,2,1393286400,
6906,1615,2,1393286400,
6907,1582,16,1393286400,
6908,1609,2,1393286400,
6909,1415,2,1393286400,
6910,1420,2,1393286400,
6911,1416,2,1393286400,
6912,1593,2,1393286400,
6913,1591,2,1393286400,
6914,1584,2,1393286400,
6915,1589,2,1393286400,
6916,1590,2,1393286400,
6917,562,5,1393286400,1470
6918,628,2,1393286400,
6919,1611,2,1393286400,
6920,1622,2,1393286400,
6923,1619,15,1393372800,
6924,1497,16,1393372800,
6925,1617,16,1393372800,
6926,1619,2,1393372800,
6928,595,2,1393372800,
6929,595,5,1393372800,90
6930,1472,2,1393372800,
6931,1472,5,1393372800,1511
6932,1627,2,1393372800,
6933,97,2,1393372800,
6934,318,2,1393372800,
6935,1609,2,1393372800,
6936,1602,2,1393372800,
6937,1626,2,1393372800,
6938,1630,2,1393372800,
6982,1453,2,1393372800,
6983,1610,15,1393372800,
6984,1630,15,1393372800,
6987,1576,5,1393459200,2062
6988,1576,2,1393459200,
6989,302,5,1393459200,2060
6990,734,2,1393459200,
6991,1554,2,1393459200,
6992,1612,5,1393459200,2065
6993,1576,5,1393459200,2065
6994,1208,2,1393459200,
6995,1210,2,1393459200,
6996,1363,2,1393459200,
6997,134,2,1393459200,
6998,1044,2,1393459200,
6999,1562,2,1393459200,
7000,1553,2,1393459200,
7001,1592,16,1393459200,
7002,303,2,1393459200,
7003,302,2,1393459200,
7004,1630,2,1393459200,
7005,1630,2,1393459200,
7006,734,2,1393459200,
7007,1554,2,1393459200,
7008,562,2,1393459200,
7009,562,5,1393459200,2070
7010,1592,2,1393459200,
7011,1587,2,1393459200,
7012,1089,2,1393459200,
7013,846,2,1393459200,
7014,1576,2,1393459200,
7015,956,15,1393459200,
7016,1610,2,1393545600,
7017,1633,2,1393545600,
7018,1609,2,1393545600,
7019,1511,2,1393545600,
7020,1629,2,1393545600,
7021,1631,2,1393545600,
7022,1633,2,1393545600,
7023,1633,16,1393545600,
7024,1610,2,1393632000,
7025,1576,2,1393632000,
7026,1640,10,1393632000,
7027,994,2,1393632000,
7028,1018,2,1393632000,
7029,987,2,1393632000,
7030,980,2,1393632000,
7031,980,16,1393632000,
7032,987,2,1393632000,
7033,1642,2,1393632000,
7034,1547,1,1393632000,
7035,689,2,1393718400,
7036,673,2,1393718400,
7037,1646,2,1393718400,
7038,1624,2,1393718400,
7039,1641,2,1393718400,
7040,1628,2,1393718400,
7042,748,2,1393718400,
7043,748,5,1393718400,2085
7044,1451,2,1393718400,
7045,1420,2,1393718400,
7046,1644,2,1393718400,
7047,1408,2,1393718400,
7048,1232,2,1393718400,
7049,1647,3,1393718400,
7050,1632,15,1393718400,
7051,1630,15,1393718400,
7052,1647,10,1393718400,
7053,1649,2,1393718400,
7054,1646,15,1393718400,
7055,1602,5,1393718400,2086
7056,1648,2,1393718400,
7057,1621,2,1393718400,
7058,1650,2,1393718400,
7059,1645,2,1393718400,
7060,1648,2,1393718400,
7061,1572,5,1393718400,2087
7062,1651,2,1393718400,
7063,1651,16,1393718400,
7064,1602,5,1393804800,2092
7066,1007,5,1393804800,2093
7067,1645,2,1393804800,
7068,1251,2,1393804800,
7069,1653,2,1393804800,
7070,1654,2,1393804800,
7071,598,2,1393804800,
7072,1645,2,1393804800,
7073,1653,2,1393804800,
7074,1567,2,1393804800,
7075,1559,2,1393804800,
7076,1555,2,1393804800,
7077,1275,2,1393804800,
7078,1441,2,1393804800,
7080,1550,2,1393804800,
7081,1589,2,1393891200,
7082,1572,2,1393891200,
7083,1427,2,1393891200,
7084,1409,2,1393891200,
7085,1397,2,1393891200,
7086,1375,2,1393891200,
7087,959,2,1393891200,
7088,645,2,1393891200,
7089,739,2,1393891200,
7090,737,2,1393891200,
7091,738,2,1393891200,
7092,716,2,1393891200,
7093,715,2,1393891200,
7094,1650,2,1393891200,
7095,1208,5,1393891200,458
7096,1208,2,1393891200,
7097,1645,2,1393891200,
7098,1653,2,1393891200,
7099,1652,2,1393891200,
7100,1428,3,1393891200,
7101,1658,3,1393891200,
7102,1658,3,1393891200,
7103,1646,2,1393891200,
7104,1657,2,1393891200,
7105,1646,3,1393891200,
7106,1646,16,1393891200,
7107,1658,2,1393891200,
7108,150,2,1393891200,
7109,177,2,1393891200,
7110,170,2,1393891200,
7111,149,2,1393891200,
7112,169,2,1393891200,
7113,86,2,1393891200,
7114,103,2,1393891200,
7115,117,2,1393891200,
7116,48,2,1393891200,
7117,72,2,1393891200,
7118,43,2,1393891200,
7119,76,2,1393891200,
7120,613,2,1393891200,
7121,615,2,1393891200,
7122,616,2,1393891200,
7124,498,2,1393891200,
7125,607,2,1393891200,
7126,95,2,1393891200,
7127,140,2,1393891200,
7128,252,2,1393891200,
7129,600,2,1393891200,
7130,100,2,1393891200,
7131,102,2,1393891200,
7132,556,2,1393891200,
7133,503,2,1393891200,
7134,477,5,1393891200,2075
7136,485,2,1393891200,
7137,1485,2,1393891200,
7138,1526,2,1393891200,
7140,538,2,1393891200,
7141,537,2,1393891200,
7142,29,5,1393891200,2075
7144,31,2,1393891200,
7145,179,2,1393891200,
7146,44,2,1393891200,
7147,156,2,1393891200,
7148,474,2,1393891200,
7150,257,2,1393891200,
7152,454,2,1393891200,
7153,413,2,1393891200,
7155,1645,2,1393891200,
7156,1613,2,1393891200,
7157,1615,2,1393891200,
7158,1658,15,1393977600,
7159,1658,3,1393977600,
